property;statistic;value
forearmLeft;lowerWhisker;0,204937
forearmLeft;lowerQuartile;0,234543
forearmLeft;median;0,237144
forearmLeft;upperQuartile;0,254663
forearmLeft;upperWhisker;0,270767
forearmLeft;minValue;0,204937
forearmLeft;maxValue;0,270767
forearmLeft;amountDataPoints;686
forearmLeft;amountOutliers;0
forearmLeft;sum;166,707
forearmLeft;mean;0,243013
forearmLeft;quartileDistance;0,0201202
upperarmLeft;lowerWhisker;0,253742
upperarmLeft;lowerQuartile;0,26319
upperarmLeft;median;0,267446
upperarmLeft;upperQuartile;0,271397
upperarmLeft;upperWhisker;0,275733
upperarmLeft;minValue;0,213557
upperarmLeft;maxValue;0,275733
upperarmLeft;amountDataPoints;686
upperarmLeft;amountOutliers;87
upperarmLeft;sum;181,935
upperarmLeft;mean;0,265211
upperarmLeft;quartileDistance;0,00820717
shoulderHalfLeft;lowerWhisker;0,175161
shoulderHalfLeft;lowerQuartile;0,179366
shoulderHalfLeft;median;0,18016
shoulderHalfLeft;upperQuartile;0,182554
shoulderHalfLeft;upperWhisker;0,185583
shoulderHalfLeft;minValue;0,168227
shoulderHalfLeft;maxValue;0,185583
shoulderHalfLeft;amountDataPoints;686
shoulderHalfLeft;amountOutliers;92
shoulderHalfLeft;sum;123,545
shoulderHalfLeft;mean;0,180095
shoulderHalfLeft;quartileDistance;0,00318789
neck;lowerWhisker;0,077562
neck;lowerQuartile;0,0778183
neck;median;0,0779271
neck;upperQuartile;0,078048
neck;upperWhisker;0,0783549
neck;minValue;0,077562
neck;maxValue;0,07932
neck;amountDataPoints;686
neck;amountOutliers;96
neck;sum;53,5559
neck;mean;0,0780698
neck;quartileDistance;0,000229686
shoulderHalfRight;lowerWhisker;0,196587
shoulderHalfRight;lowerQuartile;0,199219
shoulderHalfRight;median;0,200134
shoulderHalfRight;upperQuartile;0,201268
shoulderHalfRight;upperWhisker;0,204046
shoulderHalfRight;minValue;0,193226
shoulderHalfRight;maxValue;0,204359
shoulderHalfRight;amountDataPoints;686
shoulderHalfRight;amountOutliers;96
shoulderHalfRight;sum;137,128
shoulderHalfRight;mean;0,199895
shoulderHalfRight;quartileDistance;0,00204901
upperarmRight;lowerWhisker;0,205783
upperarmRight;lowerQuartile;0,211843
upperarmRight;median;0,213596
upperarmRight;upperQuartile;0,216362
upperarmRight;upperWhisker;0,223065
upperarmRight;minValue;0,200001
upperarmRight;maxValue;0,278369
upperarmRight;amountDataPoints;686
upperarmRight;amountOutliers;88
upperarmRight;sum;150,375
upperarmRight;mean;0,219205
upperarmRight;quartileDistance;0,00451951
forearmRight;lowerWhisker;0,196515
forearmRight;lowerQuartile;0,199139
forearmRight;median;0,200326
forearmRight;upperQuartile;0,201369
forearmRight;upperWhisker;0,204509
forearmRight;minValue;0,196515
forearmRight;maxValue;0,262617
forearmRight;amountDataPoints;686
forearmRight;amountOutliers;85
forearmRight;sum;139,687
forearmRight;mean;0,203626
forearmRight;quartileDistance;0,00222982
shoulder;lowerWhisker;0,356385
shoulder;lowerQuartile;0,362024
shoulder;median;0,363887
shoulder;upperQuartile;0,365797
shoulder;upperWhisker;0,36962
shoulder;minValue;0,338271
shoulder;maxValue;0,36962
shoulder;amountDataPoints;686
shoulder;amountOutliers;94
shoulder;sum;247,883
shoulder;mean;0,361345
shoulder;quartileDistance;0,00377297
upperBody;lowerWhisker;0,241834
upperBody;lowerQuartile;0,242599
upperBody;median;0,242871
upperBody;upperQuartile;0,243202
upperBody;upperWhisker;0,244002
upperBody;minValue;0,241834
upperBody;maxValue;0,247024
upperBody;amountDataPoints;686
upperBody;amountOutliers;95
upperBody;sum;166,895
upperBody;mean;0,243287
upperBody;quartileDistance;0,000603914
hip;lowerWhisker;0,151439
hip;lowerQuartile;0,152168
hip;median;0,152378
hip;upperQuartile;0,152674
hip;upperWhisker;0,153375
hip;minValue;0,150752
hip;maxValue;0,153375
hip;amountDataPoints;686
hip;amountOutliers;4
hip;sum;104,549
hip;mean;0,152404
hip;quartileDistance;0,000505909
lowerBody;lowerWhisker;0,337
lowerBody;lowerQuartile;0,337827
lowerBody;median;0,338247
lowerBody;upperQuartile;0,338691
lowerBody;upperWhisker;0,339611
lowerBody;minValue;0,337
lowerBody;maxValue;0,344054
lowerBody;amountDataPoints;686
lowerBody;amountOutliers;94
lowerBody;sum;232,425
lowerBody;mean;0,338812
lowerBody;quartileDistance;0,000864714
body;lowerWhisker;0,57885
body;lowerQuartile;0,580425
body;median;0,581098
body;upperQuartile;0,581912
body;upperWhisker;0,583987
body;minValue;0,57885
body;maxValue;0,590928
body;amountDataPoints;686
body;amountOutliers;94
body;sum;399,293
body;mean;0,58206
body;quartileDistance;0,00148684
lowerLegLeft;lowerWhisker;0,261936
lowerLegLeft;lowerQuartile;0,265601
lowerLegLeft;median;0,267189
lowerLegLeft;upperQuartile;0,26864
lowerLegLeft;upperWhisker;0,272875
lowerLegLeft;minValue;0,261936
lowerLegLeft;maxValue;0,281314
lowerLegLeft;amountDataPoints;686
lowerLegLeft;amountOutliers;82
lowerLegLeft;sum;184,034
lowerLegLeft;mean;0,268271
lowerLegLeft;quartileDistance;0,00303936
upperLegLeft;lowerWhisker;0,439202
upperLegLeft;lowerQuartile;0,444231
upperLegLeft;median;0,445423
upperLegLeft;upperQuartile;0,44803
upperLegLeft;upperWhisker;0,450918
upperLegLeft;minValue;0,419802
upperLegLeft;maxValue;0,450918
upperLegLeft;amountDataPoints;686
upperLegLeft;amountOutliers;92
upperLegLeft;sum;304,114
upperLegLeft;mean;0,443315
upperLegLeft;quartileDistance;0,00379834
upperLegRight;lowerWhisker;0,394083
upperLegRight;lowerQuartile;0,396951
upperLegRight;median;0,398339
upperLegRight;upperQuartile;0,399601
upperLegRight;upperWhisker;0,403261
upperLegRight;minValue;0,383679
upperLegRight;maxValue;0,404655
upperLegRight;amountDataPoints;686
upperLegRight;amountOutliers;96
upperLegRight;sum;272,419
upperLegRight;mean;0,397112
upperLegRight;quartileDistance;0,00265032
lowerLegRight;lowerWhisker;0,36093
lowerLegRight;lowerQuartile;0,363411
lowerLegRight;median;0,364372
lowerLegRight;upperQuartile;0,365141
lowerLegRight;upperWhisker;0,367578
lowerLegRight;minValue;0,359257
lowerLegRight;maxValue;0,368985
lowerLegRight;amountDataPoints;686
lowerLegRight;amountOutliers;17
lowerLegRight;sum;249,916
lowerLegRight;mean;0,364309
lowerLegRight;quartileDistance;0,00172967
